id,source,date,rating,text
1,nps,2026-04-07,,"Truly enjoy entering my PIN, waiting for a code that never arrives, and starting over. Peak design."
2,app_store,2026-04-02,1,My transfer to Kumasi failed silently. no error no sms no nothing. balance just reduced. found out when my mother called asking where the money was
3,support,2026-03-09,,"On 2nd June I transferred GHS 500 to my supplier via SikaPay. My balance reduced but the supplier confirms nothing was received. The transaction shows 'pending' five days later. I need this reversed immediately, my business depends on it."
4,app_store,2026-05-23,1,transfer failed but they took my money. GHS 120. one week no refund. AVOID THIS APP
5,app_store,2026-04-27,1,the fees are hidden until after. thats not a fee thats an ambush
6,app_store,2026-03-16,2,the chat bot answers everything except my actual question. let me reach a HUMAN
7,app_store,2026-05-05,4,love sikapay but i need statements i can print. my susu group keeps paper records
8,nps,2026-05-08,,fees appear like surprise guests. uninvited and expensive
9,app_store,2026-02-24,1,called the helpline 11 times. either busy or drops after the menu. is anyone there??
10,support,2026-04-16,,App performance degrades badly on 3G. In my hometown near Tamale the dashboard simply never finishes loading. We are not all in Accra with 4G.
11,support,2026-03-10,,Requesting bulk export of transaction history (CSV or PDF). As a trader I reconcile manually every week and copying line by line from the app is painful.
12,support,2026-06-08,,Your support email bounces. The address listed on the website returns mailer-daemon errors. How is a customer supposed to escalate anything?
13,app_store,2026-04-24,1,app said transaction failed try again. i tried again. BOTH went through after 1 hour. now i sent my landlord double rent and getting it back is my problem apparently
14,nps,2026-05-15,,two factor is good security but not when the factor never arrives
15,nps,2026-04-25,,by the time my balance loads i have forgotten why i opened the app
16,app_store,2026-06-08,1,momo cashout stuck on processing since FRIDAY. its tuesday. where is my 450???
17,app_store,2026-06-10,3,asdfgh
18,app_store,2026-05-24,2,Oh I just LOVE waiting five whole minutes for the dashboard to load. Truly a premium experience.
19,nps,2026-05-17,,login is a lottery
20,support,2026-06-02,,"Feature request: dark mode. Minor, but the bright white drains battery on my AMOLED phone and blinds me at night."
21,nps,2026-04-20,,support exists in theory
22,app_store,2026-03-20,5,nice
23,app_store,2026-02-21,1,"in-app support is a black hole. 3 tickets, zero replies, 2 weeks"
24,app_store,2026-03-26,5,MAKE MONEY FAST!!! visit quickcedis-win .com for instant loans no collateral
25,app_store,2026-03-25,1,too slow to use at the market. when the queue is behind you 2 minutes feels like 2 hours
26,app_store,2026-04-07,3,good app generally but receipt download kills it on my itel phone. low end phones matter in ghana oo
27,nps,2026-04-20,,crashes on receipts but at least its consistent
28,app_store,2026-06-01,5,good app
29,support,2026-04-06,,"Dear support, the one-time password feature is not working reliably. Today it took 22 minutes for the code to arrive. By that time the app said code expired. I work with mobile money daily for my shop and this is costing me sales."
30,nps,2026-05-15,,"app opens fast, balance loads in geological time"
31,support,2026-05-10,,"Loading times have increased noticeably over the last two updates. Dashboard ~30s, transaction history ~50s, on an iPhone 12 with strong signal. Something regressed."
32,app_store,2026-03-11,1,The app logged me out by itself and now the verification SMS is not coming. AT network. fix your sms provider
33,nps,2026-05-15,,the receipt feature took the phrase 'crash course in finance' too literally
34,app_store,2026-04-16,4,the
35,app_store,2026-03-04,2,"crashes when i tap share receipt. restarted phone, reinstalled, same thing"
36,nps,2026-05-12,,why does it log me out every 3 days exactly
37,app_store,2026-05-12,1,verification code takes 30 minutes to arrive by then it has expired. tried 6 times today
38,app_store,2026-03-26,1,cant login. no code. uninstalling
39,support,2026-05-23,,Crash report: open transaction > tap receipt icon > app freezes for ~5 seconds > closes. Reproducible 100% of the time on my Infinix Note 30.
40,app_store,2026-05-11,2,keyboard covers the amount field on my small itel screen
41,app_store,2026-04-27,1,I sent money to a wrong recipient is one thing but here the app sent it NOWHERE. deducted and vanished. ref SP-1190334
42,app_store,2026-04-08,2,why the dashboard dey load like dial up internet
43,app_store,2026-05-06,5,USELESS APP. took my 200 cedis for a failed transfer and now everyone is quiet. giving 5 stars so people SEE this review
44,app_store,2026-05-10,1,deducted GHS 40 for airtime that never came. AT number. happens to my colleague too on the same app
45,app_store,2026-05-08,3,nice features but why does the main screen load like its downloading the whole bank
46,support,2026-06-05,,The British High Commission rejected my screenshots and asked for an official statement. Please add an official PDF export with your letterhead. This is becoming a common need.
47,nps,2026-06-01,,hbd to me 🎂
48,app_store,2026-03-10,1,"tried to save my transaction receipt as pdf, app froze then closed. lost the transaction details i needed"
49,nps,2026-03-26,,i now screenshot every single transaction because i trust nothing. exhausting
50,support,2026-03-07,,Kindly add a feature to email a stamped PDF statement for a selected period. My mortgage application requires three months of records and SikaPay holds most of my transactions.
51,app_store,2026-03-06,4,add scheduled/recurring transfers for rent please
52,app_store,2026-06-09,4,great app. dark mode when?
53,nps,2026-04-09,,receipts crash the app. ironic for a finance product
54,app_store,2026-05-13,5,best fintech app in ghana right now and im saying it with my chest
55,nps,2026-06-03,,would pay a small fee for proper monthly statements honestly
56,app_store,2026-04-27,1,no reply since i reported my failed transfer. the silence is the loudest part of this app
57,app_store,2026-03-27,1,i keep screenshots now because the receipt button is a self destruct button
58,support,2026-06-06,,The home screen takes between 45 seconds and 2 minutes to display my balance on a 4G connection in Accra. Other banking apps load in seconds on the same network. Please optimise.
59,support,2026-03-04,,"Please display the exact fee before the confirm button, not after the transaction completes. Today I was charged GHS 4.20 on a GHS 150 transfer with no prior notice."
60,support,2026-05-10,,"Hello, my cash out at the agent failed at the last step but my wallet balance still reduced by GHS 300. The agent showed me his side received nothing. Ref SP-3327719. Two days now. Please treat as urgent."
61,support,2026-06-05,,After the latest version the share-receipt function causes a force close. Clearing cache did not help. Galaxy S21.
62,support,2026-03-05,,Good afternoon. I have been unable to access my SikaPay account for two days. The SMS verification code does not arrive on my Telecel line. I have over GHS 900 in the wallet and rent is due. Please assist urgently.
63,app_store,2026-06-09,1,code expired before it arrived. twice. mathematically impressive
64,support,2026-05-02,,"My QR payment at Shoprite was debited but the cashier system showed declined. I paid again by card. Please reverse the first charge of GHS 215.40, ref SP-9011273."
65,nps,2026-05-19,,the design team understood the assignment
66,nps,2026-05-21,,refund process is where hope goes to die
67,app_store,2026-05-18,2,charged 1.5 cedis on a transfer and NOTHING told me before i confirmed. show fees upfront!
68,app_store,2026-05-18,4,please add Twi and Ewe language options for the elders
69,app_store,2026-03-01,5,love everything. would love it more in dark mode
70,app_store,2026-05-16,1,failed trasnfer no refund 2 weeks. reporting to BoG this week i swear
71,app_store,2026-03-10,3,how do i withdraw from my susu pocket before the end date? the option is hidden somewhere
72,nps,2026-03-22,,genuinely better designed than my bank app
73,app_store,2026-04-15,4,"great app, one ask: let me export transactions to PDF or excel for my small business bookkeeping"
74,app_store,2026-03-22,5,👍👍👍
75,app_store,2026-06-07,1,the money left my wallet but didnt reach the merchant. had to pay cash anyway. so i paid twice. thanks sikapay
76,nps,2026-05-05,,sikapay has quietly become my main wallet
77,app_store,2026-03-12,1,app crashes every time i try to download a receipt. EVERY time. samsung a14
78,app_store,2026-02-03,2,reversals take FOREVER. failed airtime purchase took 11 days to refund. the bank does it in 24hrs why cant you
79,support,2026-04-11,,Request: fingerprint login on supported devices instead of PIN every time.
80,app_store,2026-02-03,3,please add ability to export my full transaction history as PDF. i need it for my visa application
81,app_store,2026-06-06,3,itemise the charges on the receipt. one lump sum tells me nothing
82,app_store,2026-03-01,2,transfers work 9 times out of 10 but that 1 time will give you a heart attack. reversal took 6 days
83,app_store,2026-05-07,2,why do i need otp every single login and why does the sms take forever on mtn
84,app_store,2026-05-28,3,add pdf statement download wai. for embassy things
85,nps,2026-03-14,,the app is great but it is also a flashlight
86,support,2026-05-02,,The promo banner cannot be dismissed and covers the send button on older devices.
87,app_store,2026-02-21,1,OTP never comes. I have been trying to log in since morning. My money is in there and I cannot reach it!!
88,app_store,2026-03-08,1,why otp no dey come?? mtn line. accra here. 3 days now i no fit enter the app
89,app_store,2026-03-07,5,download now and use my referral code SK-2291 for free 5 cedis!!! best app
90,app_store,2026-06-04,3,"why does early susu withdrawal need a 'reason'? its my money, the dropdown options dont even fit"
91,app_store,2026-04-02,1,transfer dey fail but charges no dey fail. interesting business model
92,support,2026-05-02,,Kindly assist with ref SP-4456120. School fees payment of GHS 850 to GIMPA shows successful on my end but the school portal shows unpaid. The deadline is Friday. I cannot afford to pay twice.
93,app_store,2026-03-04,3,notifications come in twos. every alert twice. small bug
94,nps,2026-04-01,,the app is basically a loading screen with a wallet attached
95,nps,2026-03-20,,"the login code thing needs work, half the time i give up"
96,app_store,2026-06-04,4,app dey bee. just fix the small small bugs
97,app_store,2026-04-09,4,would love a joint pocket feature for me and my wife
98,app_store,2026-05-20,2,susu pocket said flexible but withdrawing took me 20 minutes of searching. put a clear withdraw button
99,nps,2026-03-26,,i do math after every transaction to figure out what i was charged. make it make sense
100,app_store,2026-03-21,2,home screen slow since march update. transaction list even slower. scroll lags too
101,app_store,2026-05-16,1,OTP WAHALA EVERY DAY. I JUST WANT TO SEND MONEY.
102,app_store,2026-06-07,1,slow slow slow. opening balance page eats my data bundle AND my patience
103,app_store,2026-05-22,5,the QR payment at chop bars is a game changer. no more 'do you have change'
104,nps,2026-05-15,,ok
105,app_store,2026-05-19,2,sometimes the code comes fast sometimes never. on vodafone. make it consistent please or add whatsapp option
106,app_store,2026-04-15,1,e-levy plus your fee plus network fee... just SHOW ME THE TOTAL before i press send
107,support,2026-05-21,,This is a complaint about support itself: my ticket from 28 May has had no human response. The auto-reply promised 24-48 hours. It has been 12 days.
108,app_store,2026-05-27,1,woke up to a debit alert for a transfer i made 3 days ago that FAILED. so it succeeded secretly?? my recipient got nothing
109,support,2026-02-17,,"The app closes unexpectedly whenever I attempt to download a transaction receipt. This started after the last update. Tecno Spark 10, Android 13. I need receipts for my company expense claims."
110,nps,2026-03-15,,Love how my OTP arrives the day after I needed it. Telepathy would be faster.
111,app_store,2026-02-19,2,every reversal needs a support ticket. why not automatic when YOUR system fails? customers shouldnt do your reconciliation for you
112,nps,2026-03-25,,speed it up and this is a 5 star app
113,app_store,2026-03-03,4,"clean interface, my father uses it without calling me for help. that is the real test"
114,app_store,2026-05-03,2,instagram DMs get replies but in-app tickets dont. so your social media team is your support team?
115,app_store,2026-05-04,4,the airtime topup is instant and the favourites feature is smart
116,app_store,2026-03-01,2,the 'free transfers' advert no match the charges for inside the app. small small fees everywhere
117,app_store,2026-04-23,2,crashing on receipt download since the june update. was fine before
118,support,2026-06-09,,This is my third message regarding ref SP-8810022. GHS 75 deducted for a DSTV payment that DSTV never received. Your in-app chat says 'we will get back to you' since last week. I am now considering reporting to Bank of Ghana.
119,app_store,2026-05-08,1,bad
120,nps,2026-05-25,,dark mode please
121,nps,2026-02-08,,"saving in susu pocket easy. getting it out, scavenger hunt"
122,support,2026-05-12,,"Typo on the cash-out screen: 'Withdrawl'. Small thing, looks unprofessional."
123,app_store,2026-03-13,1,dashboard loading is painfully slow on data. only acceptable on wifi. most of us are on data!!
124,app_store,2026-03-05,3,can you cache the balance or something? staring at a blank card every morning is not it
125,app_store,2026-02-17,1,I missed paying my susu contribution because i couldnt log in. the sms code is a joke
126,support,2026-06-02,,"Feature request: downloadable monthly statements in PDF format, similar to bank statements. Embassies and landlords request these. Currently I must screenshot dozens of pages."
127,nps,2026-03-28,,susu pockets are a great idea wearing a confusing outfit
128,support,2026-05-02,,Whenever I generate a monthly statement the app crashes at around 80% of the loading bar. Tried on wifi and data. My accountant is waiting on these records.
129,app_store,2026-03-07,5,onboarding took 3 minutes flat. fastest KYC i have done in ghana. well done
130,app_store,2026-03-18,2,the spinner. always the spinner. i have memorised the spinner
131,support,2026-06-07,,Please whitelist my number. SMS codes stopped arriving after I swapped to a new SIM with the same number. Support has not replied to my last two tickets about this.
132,nps,2026-06-01,,recommended it to my whole susu group
133,support,2026-05-23,,After maturity my Susu pocket balance did not auto-return to the main wallet as the FAQ states. I had to figure out a manual claim step nobody mentions.
134,support,2026-06-06,,I compared with MoMo directly and SikaPay charged me more for the same cash-out without any breakdown shown. Transparency on charges would build trust.
135,app_store,2026-05-10,4,all white screens in 2026?? add dark theme
136,nps,2026-05-18,,a premium experience indeed... five minutes of suspense before discovering im broke
137,nps,2026-02-15,,"fees arent even high, theyre just sneaky. sneaky is worse"
138,app_store,2026-03-01,5,i pay my tro tro mate by QR now. we are living in the future
139,app_store,2026-06-01,2,the susu interest shown and the interest paid no match. or the display is confusing. either way confusing
140,app_store,2026-02-01,1,"sent 250 to my brother for school fees, money left my account, he never recieved it. 4 days now. customer care silent. is this app a scam??"
141,app_store,2026-05-09,3,my eyes at 11pm beg you for dark mode
142,app_store,2026-04-28,2,"verification works on my wifes phone instantly but never on mine, same network, make it make sense"
143,app_store,2026-06-05,2,app dey crash anytime i try download receipt. fix this thing
144,app_store,2026-02-12,2,balance takes forever to show. spinning circle is the apps real logo
145,nps,2026-05-10,,the disappearing money trick is impressive but i preferred when banking was boring
146,nps,2026-02-04,,test
147,nps,2026-05-10,,"sent money on monday, arrived thursday, no explanation. for a payments app thats kind of the one job"
148,app_store,2026-04-25,3,app is decent but the sms verification is unreliable at dawn and late night
149,support,2026-05-03,,I traveled to the UK and cannot receive the SMS code on my Ghana number. There is no alternative verification method. I have been locked out of my funds for one week. Please add email or authenticator app verification.
150,support,2026-05-02,,Verification code delays are making me miss momo agent closing time. Yesterday I waited 40 minutes at the agent in Madina and the code never came. I had to go home without cashing out.
151,nps,2026-04-18,,9/10 would be 10 if balance loaded faster
152,app_store,2026-03-14,1,"if i could give zero stars i would. money deducted, transfer not delivered, support replied after FIVE days with a copy paste apology"
153,app_store,2026-05-12,5,i love jesus
154,app_store,2026-06-08,1,update broke receipts. crashes instantly. roll it back
155,app_store,2026-04-04,2,support replied after 6 days asking for details i already provided in the first message. start over. wonderful
156,app_store,2026-05-12,5,"bill payments all in one place saved my saturday. ECG, DSTV, water, done"
157,nps,2026-06-03,,no statement export in 2026 is wild
158,app_store,2026-03-15,1,debited twice for one momo topup. 60 cedis became 120. still waiting for reversal 9 days later
159,support,2026-05-14,,Please add a callback option. Waiting on hold on my own airtime to resolve YOUR system error adds insult to injury.
160,app_store,2026-05-06,1,.
161,support,2026-04-22,,"Failed transaction SP-5520981, GHS 1,200 to my Fidelity account. Wallet debited, bank shows nothing for 72 hours. This is a large amount for me. Kindly escalate."
162,nps,2026-06-05,,widget for balance on home screen would be nice
163,app_store,2026-04-16,1,"i topup data bundle, money gone, no bundle. small money but its the principle. fix am"
164,app_store,2026-05-04,3,statement export please!! every bank app has it
165,nps,2026-05-11,,"money goes out, money doesnt arrive, support goes quiet. thats the whole review"
166,support,2026-04-04,,"Dear team, I attempted to pay my ECG bill on Tuesday around 6pm. The app showed 'processing' then crashed. I was debited GHS 86.50 but ECG has no record of payment. Transaction ref: SP-2241108. Please resolve urgently as my meter is on emergency credit."
167,app_store,2026-06-09,1,resend code button does nothing. pressed it 10 times. got 10 codes at once 1 hour later. all expired
168,support,2026-06-08,,Requesting urgent reversal. Bill payment to Ghana Water failed but I was charged GHS 134. Reference SP-7763001. I have screenshots of everything.
169,app_store,2026-06-08,2,"i cant find where to download my statement, the feature must be broken on my phone"
170,app_store,2026-04-25,3,app good but fee structure is a mystery novel. publish a simple fee table in the app
171,support,2026-05-25,,I locked GHS 600 in a Susu pocket and now face an emergency. The early withdrawal process is unclear - the help article describes buttons that do not exist in my version.
172,app_store,2026-05-28,4,good app. honest fees ARE shown on momo topup at least. extend that everywhere
173,nps,2026-02-01,,need pdf statements for my visa interview. had to use my bank instead
174,app_store,2026-02-06,4,"love susu pockets!! just make withdrawal clearer for my mum, she got stuck"
175,app_store,2026-04-07,2,"why is the fee different every time for the same amount? sent 100 twice this week, charged differently"
176,nps,2026-05-28,,customer care more like customer prayer
177,support,2026-06-06,,My OTP keeps going to my old number which I no longer use. How do I change the registered number if I cannot log in to change it? This is a chicken and egg situation.
178,app_store,2026-03-17,5,"sent money to my mum in Tamale, she cashed out same minute. when it works it WORKS"
179,nps,2026-06-09,,fastest way to reach sikapay support is to tweet angrily. noted
180,support,2026-05-14,,Not a complaint for once - the new bundle purchase flow is excellent. Two taps. Whoever redesigned it deserves jollof.
181,support,2026-06-01,,Suggestion: a fee calculator or at minimum the fee displayed on the confirmation screen. Customers should never discover charges from the debit SMS.
182,support,2026-04-21,,Suggestion: allow biometric login after first device verification so we do not depend on SMS every time. The SMS gateway you use is clearly unreliable on MTN.
183,app_store,2026-04-18,3,contact picker doesnt search by name only scrolls. i have 900 contacts
184,nps,2026-05-10,,first
185,app_store,2026-06-01,2,"app is BROKEN, it won't let me download my full statement. where is the button??"
186,app_store,2026-06-09,2,got charged for checking my own balance via the ussd backup?? wild
187,nps,2026-03-02,,"got debited for a failed transfer, took 8 days and 3 support tickets to see my money again. trust = gone"
188,app_store,2026-04-23,3,app size is now 210MB. some of us have small phones. slim it down
189,app_store,2026-03-04,1,NEEDED a receipt for proof of payment at the bank. app crashed 6 times. embarrassed myself at the counter
190,nps,2026-05-24,,locked out of my own wallet because of your sms delays. brilliant.
